,loan_amnt,funded_amnt,funded_amnt_inv,term_mths,int_rate_pct,installment,grade,sub_grade,emp_title,emp_length_yrs,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,policy_code,pub_rec_bankruptcies,actual_status,predicted_status
27089,2100,2100,2100.0,60,0.1112,45.79,2,8,1349,11,1,40000.0,1,19,0,2,14658,272,11,24.03,0,175,0,0,0,8,0,33878,0.725,26,0,0,2747.0,2747.0,2100.0,647.0,0.0,62,51.73,35,0,1,0,2,2
19754,12000,12000,11500.0,36,0.1036,389.24,2,10,20814,3,5,52500.0,1,12,0,3,5415,752,5,20.53,0,110,0,0,0,14,0,19597,0.546,42,0,0,13469.55044,12908.32,12000.0,1469.55,0.0,8,6858.31,15,0,1,0,2,2
25072,8000,8000,8000.0,60,0.209,215.98,7,33,9816,7,1,50000.0,3,17,0,3,1083,299,10,20.4,0,242,2,43,0,31,0,11712,0.781,57,0,0,3887.64,3887.64,1598.29,2275.13,0.0,51,215.98,11,0,1,0,1,1
10542,16000,16000,16000.0,36,0.1199,531.36,2,10,28264,1,1,102000.0,2,6,0,2,15154,305,10,18.78,0,262,0,0,0,14,0,11538,0.524,17,0,0,19128.63874,19128.64,16000.0,3128.64,0.0,22,532.5,1,0,1,0,2,2
6051,30000,30000,29500.0,36,0.0662,921.11,1,2,16885,11,1,94000.0,3,3,0,5,8388,769,5,7.56,0,237,0,0,0,21,0,8721,0.095,39,0,0,33159.94213,32607.28,30000.0,3159.94,0.0,23,946.6,27,0,1,0,2,2
35446,10000,10000,6750.0,36,0.0963,320.95,1,5,17269,4,1,76800.0,1,36,0,2,14785,505,15,0.0,0,150,4,0,0,9,0,0,0.0,21,0,0,10713.77537,7231.8,10000.0,713.78,0.0,89,7828.47,82,0,1,0,2,2
23247,10000,10000,9950.0,60,0.1361,230.67,3,12,27230,2,5,756000.0,2,15,0,3,4864,194,45,1.17,0,34,0,0,0,16,0,11168,0.519,18,0,0,12399.55336,12337.56,10000.0,2399.55,0.0,5,6885.05,1,0,1,0,2,2
11334,12000,12000,11950.0,60,0.1299,272.98,3,11,24927,10,5,36000.0,2,6,0,3,4864,791,5,23.67,0,86,1,0,0,15,0,7385,0.516,22,0,0,15505.02782,15440.42,12000.0,3505.03,0.0,39,6259.96,11,0,1,0,2,2
3143,4150,4150,4150.0,36,0.1758,149.16,4,19,20124,3,1,45000.0,2,2,0,3,7073,626,43,0.67,0,176,1,70,0,3,0,692,0.461,14,0,0,4328.499882,4328.5,4150.0,178.5,0.0,51,4032.29,11,0,1,0,2,2
31687,7500,7500,7500.0,36,0.1322,253.51,3,12,16787,2,5,101000.0,1,26,0,3,10476,782,5,22.22,0,315,2,0,0,17,0,33465,0.893,35,0,0,9126.42915,9126.43,7500.0,1626.43,0.0,16,270.24,11,0,1,0,2,2
